detector eta pt pt_res pt_resE p_res p_resE
MM_6_eq_2D 1 7 1.60857 0.012837 1.61097 0.0127754
MM_6_eq_2D 1 8 1.81772 0.0146431 1.82562 0.0147579
MM_6_eq_2D 1 9 2.0127 0.0159425 2.02098 0.0160256
MM_6_eq_2D 3 10 2.78317 0.0384782 2.78208 0.0402029
MM_6_eq_2D 3 1 0.954112 0.0139056 0.939345 0.0134096
MM_6_eq_2D 3 20 5.34079 0.0816007 5.24086 0.077607
MM_6_eq_2D 3 2 1.13283 0.0164743 1.12574 0.0166615
MM_6_eq_2D 3 30 7.95601 0.146445 7.88447 0.146161
MM_6_eq_2D 3 3 1.25668 0.018299 1.2344 0.0176938
MM_6_eq_2D 3 40 11.0628 0.242978 11.1253 0.257763
MM_6_eq_2D 3 4 1.4312 0.020757 1.46229 0.0215505
MM_6_eq_2D 3 50 15.138 0.448954 15.3354 0.485889
MM_6_eq_2D 3 5 1.65079 0.0233192 1.6441 0.0219537
MM_6_eq_2D 3 6 1.86587 0.0274596 1.88668 0.028057
MM_6_eq_2D 3 7 2.06294 0.0273055 2.06106 0.0270936
MM_6_eq_2D 3 8 2.39536 0.0335104 2.36207 0.0311891
MM_6_eq_2D 3 9 2.58554 0.0369154 2.58528 0.0371483
TPC 0 10 1.64013 0.0122649 1.64013 0.0122649
TPC 0 1 0.425737 0.00340369 0.426112 0.00340484
TPC 0 20 3.08158 0.0256179 3.08158 0.0256179
TPC 0 2 0.586789 0.00468471 0.586434 0.00469275
TPC 0 30 4.51432 0.0396971 4.51432 0.0396971
TPC 0 3 0.711216 0.00539528 0.711475 0.00539621
TPC 0 40 5.94417 0.0564847 5.94417 0.0564847
TPC 0 4 0.818228 0.00625775 0.818025 0.00625649
TPC 0 50 7.65813 0.0781026 7.65813 0.0781026
TPC 0 5 0.962831 0.00765637 0.962496 0.00772478
TPC 0 6 1.09427 0.00845566 1.09423 0.00845542
TPC 0 7 1.22764 0.00969723 1.22764 0.00969607
TPC 0 8 1.31051 0.00986763 1.31054 0.00986753
TPC 0 9 1.50298 0.0116205 1.50298 0.0116205
TPC 1 10 1.63878 0.0126499 1.64164 0.0126719
TPC 1 1 0.453788 0.00365756 0.452845 0.00368828
TPC 1 20 3.0766 0.0256635 3.07164 0.0253257
TPC 1 2 0.61207 0.00483812 0.608741 0.00476437
TPC 1 30 4.54497 0.0399557 4.5304 0.0396337
TPC 1 3 0.744305 0.00603326 0.742228 0.00582824
TPC 1 40 5.89847 0.053454 5.93499 0.0544209
TPC 1 4 0.866515 0.00671108 0.873153 0.00688557
TPC 1 50 7.23436 0.0719586 7.3138 0.0733743
TPC 1 5 0.989446 0.00796847 0.988884 0.00775089
TPC 1 6 1.1298 0.00861981 1.13249 0.0086222
TPC 1 7 1.25291 0.00973775 1.25958 0.0099089
TPC 1 8 1.36914 0.010709 1.36412 0.0104908
TPC 1 9 1.49807 0.0111251 1.48587 0.0112811
TPC 3 10 54.2845 3.42935 55.0803 3.5624
TPC 3 1 0.6312 0.0103247 0.613695 0.00971868
TPC 3 20 58.1067 2.98997 59.2514 3.09426
TPC 3 2 0.89314 0.0146852 36.7957 4.30947
TPC 3 30 5.75337 0.0858971 5.70622 0.0842878
TPC 3 3 43.1504 3.87566 1.01942 0.0156337
TPC 3 40 7.13484 0.121517 7.06119 0.119768
TPC 3 4 1.18396 0.0184457 52.5785 4.2548
TPC 3 50 10.0043 0.20008 9.91042 0.200905
TPC 3 5 47.427 3.82648 1.32233 0.0192303
TPC 3 6 1.43959 0.0206635 1.43653 0.0211399
TPC 3 7 1.69768 0.0238829 53.8017 3.68249
TPC 3 8 55.0213 3.68773 1.81811 0.0243832
TPC 3 9 54.4933 3.55654 55.5172 3.71688
