detector eta pt phi_res phi_resE theta_res theta_resE
MM_6_eq_2D 1 5 0.000826995 5.86212e-06 0.000696863 4.93919e-06
MM_6_eq_2D 1 6 0.000698793 4.95361e-06 0.000495242 3.51068e-06
MM_6_eq_2D 1 7 0.00062265 4.41363e-06 0.000489957 3.47269e-06
MM_6_eq_2D 1 8 0.000470912 3.33619e-06 0.000360568 2.55446e-06
MM_6_eq_2D 1 9 0.000505645 3.58173e-06 0.000338969 2.40108e-06
MM_6_eq_2D 1 10 0.000454051 3.21497e-06 0.000295533 2.09256e-06
MM_6_eq_2D 1 20 0.000354771 2.51402e-06 0.000175575 1.24418e-06
MM_6_eq_2D 1 30 0.000337917 2.39279e-06 9.11422e-05 6.45377e-07
MM_6_eq_2D 1 40 0.000334117 2.366e-06 7.15322e-05 5.06519e-07
MM_6_eq_2D 1 50 0.000320644 2.2715e-06 5.8513e-05 4.14496e-07
MM_6_eq_2D 3 1 0.00128178 1.12153e-05 0.000880168 7.70065e-06
MM_6_eq_2D 3 2 0.00105888 9.23384e-06 0.00087753 7.6501e-06
MM_6_eq_2D 3 3 0.000943694 8.18903e-06 0.000790149 6.85249e-06
MM_6_eq_2D 3 4 0.000939031 8.14917e-06 0.000599131 5.19903e-06
MM_6_eq_2D 3 5 0.000876559 7.58819e-06 0.000348767 3.01921e-06
MM_6_eq_2D 3 6 0.000936432 8.12479e-06 0.000604767 5.24675e-06
MM_6_eq_2D 3 7 0.00079708 6.8955e-06 0.000441778 3.82123e-06
MM_6_eq_2D 3 8 0.000842741 7.28507e-06 0.000430794 3.72399e-06
MM_6_eq_2D 3 9 0.000824639 7.12752e-06 0.000320683 2.77131e-06
MM_6_eq_2D 3 10 0.00079911 6.93438e-06 0.000340116 2.9514e-06
MM_6_eq_2D 3 20 0.00067008 5.78559e-06 0.000157458 1.35942e-06
MM_6_eq_2D 3 30 0.000697901 6.03481e-06 0.000102554 8.8673e-07
MM_6_eq_2D 3 40 0.000689443 5.98093e-06 8.87093e-05 7.69555e-07
MM_6_eq_2D 3 50 0.00066798 5.81094e-06 7.23499e-05 6.29392e-07
TPC 0 1 0.00120196 8.53593e-06 0.0011202 7.95811e-06
TPC 0 2 0.00100054 7.10051e-06 0.00103368 7.33645e-06
TPC 0 3 0.000749721 5.31517e-06 0.00104127 7.38285e-06
TPC 0 4 0.000903212 6.40141e-06 0.00100045 7.09057e-06
TPC 0 5 0.000688803 4.88132e-06 0.000876414 6.21024e-06
TPC 0 6 0.000584135 4.13812e-06 0.000734076 5.20007e-06
TPC 0 7 0.000540603 3.82897e-06 0.000589606 4.17562e-06
TPC 0 8 0.00052978 3.75419e-06 0.000550112 3.89808e-06
TPC 0 9 0.000437633 3.10043e-06 0.000370206 2.62274e-06
TPC 0 10 0.0003932 2.78494e-06 0.000378387 2.67989e-06
TPC 0 20 0.000313068 2.21728e-06 0.000152391 1.07924e-06
TPC 0 30 0.000306703 2.1723e-06 0.000170668 1.2088e-06
TPC 0 40 0.000276102 1.95546e-06 0.000104343 7.39e-07
TPC 0 50 0.000296128 2.09741e-06 6.37419e-05 4.51469e-07
TPC 1 1 0.00129563 9.20762e-06 0.00115178 8.18702e-06
TPC 1 2 0.00107953 7.65641e-06 0.00110798 7.85903e-06
TPC 1 3 0.0010535 7.46809e-06 0.000913316 6.47563e-06
TPC 1 4 0.000673539 4.77315e-06 0.000896352 6.3512e-06
TPC 1 5 0.000732963 5.19453e-06 0.0007388 5.23642e-06
TPC 1 6 0.000705576 4.99668e-06 0.00057868 4.09783e-06
TPC 1 7 0.000660854 4.68114e-06 0.000572011 4.05183e-06
TPC 1 8 0.000512383 3.62818e-06 0.000461964 3.27116e-06
TPC 1 9 0.0005481 3.88655e-06 0.00047017 3.33378e-06
TPC 1 10 0.000517522 3.66641e-06 0.000379071 2.68555e-06
TPC 1 20 0.00031026 2.19761e-06 0.00019988 1.41578e-06
TPC 1 30 0.000329479 2.33362e-06 0.000159627 1.1306e-06
TPC 1 40 0.000303305 2.14824e-06 9.3105e-05 6.59441e-07
TPC 1 50 0.000298159 2.11211e-06 7.95599e-05 5.63589e-07
TPC 3 1 0.00336041 2.75647e-05 0.00117981 9.62544e-06
TPC 3 2 0.0035619 2.93302e-05 0.00102936 8.42999e-06
TPC 3 3 0.00321598 2.63199e-05 0.00105187 8.56625e-06
TPC 3 4 0.00354278 2.89421e-05 0.000783812 6.37815e-06
