detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_2D 5 0.017454178683585186 1 0.00147773 1.19958e-05 0.00208909 1.79607e-05 0.00694686 5.88257e-05 0.00694431 5.88003e-05
MM_6_3x2_2D 1 0.017454178683585186 2 0.000862234 7.16578e-06 0.00100574 8.39804e-06 0.00817733 6.77619e-05 0.00818373 6.77709e-05
MM_6_3x2_2D 2 0.017454178683585186 2 0.000879048 7.05803e-06 0.000997563 8.27616e-06 0.00825957 6.73609e-05 0.00825765 6.72579e-05
MM_6_3x2_2D 3 0.017454178683585186 2 0.000891731 6.96411e-06 0.00100105 8.5416e-06 0.00825873 6.77102e-05 0.00826077 6.76319e-05
MM_6_3x2_2D 5 0.017454178683585186 2 0.00089005 7.11707e-06 0.00100083 8.45387e-06 0.00821015 6.61238e-05 0.00821461 6.60169e-05
MM_6_3x2_2D 1 0.017454178683585186 3 0.000695165 5.52436e-06 0.000650126 5.56415e-06 0.00963612 7.86306e-05 0.00963375 7.85794e-05
MM_6_3x2_2D 2 0.017454178683585186 3 0.00070168 5.56325e-06 0.000631461 5.45927e-06 0.00963728 7.81758e-05 0.00963652 7.81945e-05
MM_6_3x2_2D 3 0.017454178683585186 3 0.000690629 5.51835e-06 0.000640376 5.38204e-06 0.00953855 7.52886e-05 0.0095361 7.51897e-05
MM_6_3x2_2D 5 0.017454178683585186 3 0.000695039 5.28015e-06 0.000635936 5.36818e-06 0.00961817 7.51828e-05 0.00961802 7.51421e-05
MM_6_3x2_2D 1 0.017454178683585186 4 0.000602827 4.74085e-06 0.000445761 3.8411e-06 0.0109529 8.79511e-05 0.0109521 8.80037e-05
MM_6_3x2_2D 2 0.017454178683585186 4 0.000609535 4.82879e-06 0.000459862 4.06891e-06 0.0110207 8.81929e-05 0.0110229 8.81852e-05
MM_6_3x2_2D 3 0.017454178683585186 4 0.000609549 4.77605e-06 0.000451262 3.90172e-06 0.0109508 8.52245e-05 0.0109541 8.53095e-05
MM_6_3x2_2D 5 0.017454178683585186 4 0.000622341 4.91106e-06 0.000450615 3.76059e-06 0.0110171 8.90836e-05 0.0110246 8.93575e-05
MM_6_3x2_2D 1 0.017454178683585186 5 0.000561669 4.22861e-06 0.000349379 2.98989e-06 0.0125388 9.69365e-05 0.01254 9.70453e-05
MM_6_3x2_2D 2 0.017454178683585186 5 0.000564065 4.49938e-06 0.00034602 3.02521e-06 0.0125967 9.80452e-05 0.0125928 9.79892e-05
MM_6_3x2_2D 3 0.017454178683585186 5 0.00056825 4.40086e-06 0.000345488 2.94297e-06 0.0127181 0.000102052 0.0127175 0.000102049
MM_6_3x2_2D 5 0.017454178683585186 5 0.000571253 4.41596e-06 0.000348052 3.10393e-06 0.0126856 9.73859e-05 0.012686 9.74272e-05
MM_6_3x2_2D 1 0.017454178683585186 6 0.000531607 4.00681e-06 0.000277661 2.35871e-06 0.0140022 0.000106319 0.014006 0.000106432
MM_6_3x2_2D 2 0.017454178683585186 6 0.000530298 3.95465e-06 0.000278261 2.42803e-06 0.0141185 0.000109193 0.0141205 0.000109246
MM_6_3x2_2D 3 0.017454178683585186 6 0.000533957 4.01188e-06 0.000279213 2.39642e-06 0.0142133 0.000110834 0.0142097 0.000110213
MM_6_3x2_2D 5 0.017454178683585186 6 0.000531073 4.34163e-06 0.000277825 2.35862e-06 0.0141502 0.000115783 0.0141484 0.000115764
MM_6_3x2_2D 1 0.017454178683585186 7 0.00051445 3.91941e-06 0.000233635 1.97078e-06 0.015975 0.000124272 0.0159756 0.000124306
